School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
Sir John Cass's Foundation Primary School,London,London,City of London,Cities of London and Westminster,EC3A 5DE,51.51366,-0.07748
Thomas Coram Centre,London,London,Camden,Holborn and St Pancras,WC1N 2NY,51.52547,-0.12078
CCfL Key Stage 4 PRU,London,London,Camden,Holborn and St Pancras,NW3 2NY,51.55417,-0.16078
Camden Primary Pupil Referral Unit,London,London,Camden,Holborn and St Pancras,NW1 3EX,51.52771,-0.14061
Argyle Primary School,London,London,Camden,Holborn and St Pancras,WC1H 9EG,51.52875,-0.12403
Beckford Primary School,London,London,Camden,Hampstead and Kilburn,NW6 1QL,51.55075,-0.19948
Brecknock Primary School,London,London,Camden,Holborn and St Pancras,NW1 9AL,51.54748,-0.12787
Brookfield Primary School,London,London,Camden,Holborn and St Pancras,N19 5DH,51.56339,-0.14506
Carlton Primary School,London,London,Camden,Holborn and St Pancras,NW5 4AX,51.55159,-0.15001
Edith Neville Primary School,London,London,Camden,Holborn and St Pancras,NW1 1DN,51.53276,-0.13113
Fleet Primary School,London,London,Camden,Holborn and St Pancras,NW3 2QT,51.55346,-0.16094
Hawley Primary School,London,London,Camden,Holborn and St Pancras,NW1 8RP,51.54271,-0.14382
Netley Primary School & Centre for Autism,London,London,Camden,Holborn and St Pancras,NW1 3EX,51.52771,-0.14061
New End Primary School,London,London,Camden,Hampstead and Kilburn,NW3 1HU,51.55813,-0.17653
Primrose Hill School,London,London,Camden,Holborn and St Pancras,NW1 8JL,51.53917,-0.1518
Rhyl Primary School,London,London,Camden,Holborn and St Pancras,NW5 3HB,51.54771,-0.15058
Richard Cobden Primary School,London,London,Camden,Holborn and St Pancras,NW1 0LL,51.53587,-0.13617
Torriano Primary School,London,London,Camden,Holborn and St Pancras,NW5 2SJ,51.54967,-0.13284
Gospel Oak Primary School,London,London,Camden,Holborn and St Pancras,NW3 2JB,51.55462,-0.15296
Fitzjohn's Primary School,London,London,Camden,Hampstead and Kilburn,NW3 6NP,51.55339,-0.17586
Eleanor Palmer Primary School,London,London,Camden,Holborn and St Pancras,NW5 2JA,51.55436,-0.13909
